annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;17;20;16850;0.131;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;27;71;320;36780;0.865;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;44;68;9020;735150;1.227;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;19;;5980;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;27;90;60;8350;0.682;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;44;08;3660;257810;1.42;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;24;10;9520;0.147;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;28;50;210;33820;0.609;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;52;85;10090;716810;1.407;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;47;10;8760;0.16;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;28;76;500;75560;0.664;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;52;999;46940;3879260;1.21;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;86;20;12590;0.127;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;28;999;1350;208290;0.647;2,3;de 60 à 64 ans;tous sexes;55.0
2018;Diabète de type 2;;;DIAB_CAT_CAT;45-49;1;45;10;150;50000;0.003;1;de 45 à 49 ans;tous sexes;10.0
2019;Diabète de type 2;;;DIAB_CAT_CAT;50-54;1;46;12;160;52000;0.0031;1;de 50 à 54 ans;tous sexes;12.0
2020;Diabète de type 2;;;DIAB_CAT_CAT;55-59;1;47;14;170;54000;0.0032;1;de 55 à 59 ans;tous sexes;14.0
2021;Hypertension essentielle;;;HTA_CAT_CAT;60-64;2;F;18;180;56000;0.0032;1;de 60 à 64 ans;femmes;18.0
2022;Hypertension essentielle;;;HTA_CAT_CAT;65-69;2;F;20;190;58000;0.0033;1;de 65 à 69 ans;femmes;20.0
2019;Insuffisance rénale chronique;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;50;24;200;6250;0.032;2,3;de 0 à 4 ans;hommes;24.0
2020;Insuffisance rénale chronique;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;05-09;1;52;24;210;6400;0.0328;2,3;de 5 à 9 ans;hommes;24.0
2021;Maladies rares;VIH;;RAR_CAT_CAT;10-14;2;F;35;220;13540;0.016;2;de 10 à 14 ans;femmes;35.0
2022;Maladies rares;VIH;;RAR_CAT_CAT;15-19;2;F;35;230;14000;0.0164;2;de 15 à 19 ans;femmes;35.0
2018;Cancer colorectal;;;CANC_CAT_CAT;40-44;1;43;75;240;40000;0.006;1;de 40 à 44 ans;tous sexes;75.0
