annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;44;08;1690;133070;1.272;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;52;72;30;15990;0.163;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;53;29;200;31810;0.632;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;44;88;2320;184390;1.256;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;52;85;40;18490;0.206;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;53;56;130;27980;0.465;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;44;999;35060;2718730;1.29;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;53;29;40;25200;0.139;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;75;19;50;8430;0.546;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;53;56;6190;412260;1.501;3;tous âges;femmes;67.0
